subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
0uk,189,L,true,418,2,0,1,1,1,
0uk,190,L,false,1244,1,1,1,0,0,
0uk,191,L,true,139,1,1,1,0,0,
0uk,192,L,true,151,1,1,0,1,1,
0uk,193,L,true,22,1,1,1,0,1,
0uk,194,L,false,124,2,0,0,1,1,
0uk,195,L,true,128,2,0,1,0,1,
0uk,196,L,true,873,2,1,1,1,1,
0uk,197,L,true,351,2,0,1,1,1,
0uk,198,L,true,400,2,1,1,1,0,
0uk,199,L,true,737,1,1,0,0,0,
0uk,200,L,false,241,2,0,0,0,1,
0uk,201,L,true,238,2,1,0,1,1,
0uk,202,L,false,16,1,0,0,1,1,
0uk,203,L,false,842,1,0,1,1,1,
0uk,204,L,false,365,2,1,1,1,1,
0uk,205,L,false,573,1,0,1,1,1,
0uk,206,L,false,143,2,0,1,1,1,
0uk,207,L,false,82,2,1,0,1,0,
0uk,208,L,true,108,1,0,1,1,1,
0uk,209,L,true,337,2,0,0,1,1,
0uk,210,L,true,173,2,0,0,0,1,
0uk,211,L,false,256,1,1,0,0,0,
0uk,212,L,false,312,2,1,1,1,0,
0uk,213,L,false,269,1,0,0,1,1,
0uk,214,L,false,12,2,1,0,1,1,
0uk,215,L,true,265,2,1,1,1,1,
0uk,216,L,true,143,2,1,1,1,1,
0uk,217,L,false,497,2,0,1,0,1,
0uk,218,L,true,405,2,0,0,1,1,
0uk,219,L,false,40,1,1,1,0,1,
0uk,220,L,true,141,1,1,0,1,1,
0uk,221,L,false,246,2,1,0,1,1,
0uk,222,L,false,337,1,0,1,0,1,
0uk,223,L,false,166,2,1,1,0,1,
0uk,224,L,false,168,1,1,1,1,0,
0uk,225,L,true,105,1,0,0,1,1,
0uk,226,L,false,474,1,1,1,1,1,
0uk,227,L,true,25,1,1,1,0,0,
0uk,228,L,false,159,2,0,0,0,0,
0uk,229,L,true,385,2,0,0,1,1,
0uk,230,L,false,72,1,0,1,1,0,
0uk,231,L,true,9,1,1,0,1,0,
0uk,232,L,false,183,2,0,0,0,1,
